Date	Time	Chan	kp	kd	ki	ep	ed	ei	effort	temp	average	target	i2c	hist	freq	enabled	sensor
01/05/2023	13:10:35	C0	 1.00	 0.00	 0.00	  416.5	    0.0	    0.0	  100.0	 25.836C	 25.835C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:11:06	C0	 1.00	 0.00	 0.00	  353.3	   -0.0	    0.0	  100.0	 26.477C	 26.468C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:11:37	C0	 1.00	 0.00	 0.00	  310.4	   -0.0	    0.0	  100.0	 26.906C	 26.899C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:12:08	C0	 1.00	 0.00	 0.00	  281.1	   -0.0	    0.0	  100.0	 27.195C	 27.192C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:12:40	C0	 1.00	 0.00	 0.00	  256.2	   -0.0	    0.0	  100.0	 27.445C	 27.438C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:13:11	C0	 1.00	 0.00	 0.00	  233.0	   -0.0	    0.0	  100.0	 27.672C	 27.672C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:13:42	C0	 1.00	 0.00	 0.00	  213.2	   -0.0	    0.0	  100.0	 27.875C	 27.872C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:14:13	C0	 1.00	 0.00	 0.00	  192.6	   -0.0	    0.0	  100.0	 28.070C	 28.073C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:14:44	C0	 1.00	 0.00	 0.00	  172.4	   -0.0	    0.0	  100.0	 28.281C	 28.277C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:15:15	C0	 1.00	 0.00	 0.00	  154.1	   -0.0	    0.0	  100.0	 28.461C	 28.462C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:15:46	C0	 1.00	 0.00	 0.00	  138.2	   -0.0	    0.0	  100.0	 28.625C	 28.618C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:16:17	C0	 1.00	 0.00	 0.00	  123.0	   -0.0	    0.0	  100.0	 28.781C	 28.771C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:16:48	C0	 1.00	 0.00	 0.00	  106.2	   -0.0	    0.0	  100.0	 28.938C	 28.941C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:17:19	C0	 1.00	 0.00	 0.00	   90.4	   -0.0	    0.0	   90.4	 29.102C	 29.097C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:17:50	C0	 1.00	 0.00	 0.00	   82.7	    0.0	    0.0	   82.7	 29.172C	 29.175C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:18:21	C0	 1.00	 0.00	 0.00	   76.4	   -0.0	    0.0	   76.4	 29.242C	 29.239C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:18:52	C0	 1.00	 0.00	 0.00	   72.9	    0.0	    0.0	   72.9	 29.273C	 29.271C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:19:23	C0	 1.00	 0.00	 0.00	   69.8	   -0.0	    0.0	   69.8	 29.305C	 29.301C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:19:54	C0	 1.00	 0.00	 0.00	   67.1	   -0.0	    0.0	   67.1	 29.328C	 29.329C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:20:25	C0	 1.00	 0.00	 0.00	   63.9	    0.0	    0.0	   63.9	 29.359C	 29.361C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:20:56	C0	 1.00	 0.00	 0.00	   60.7	   -0.0	    0.0	   60.7	 29.391C	 29.393C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:21:27	C0	 1.00	 0.00	 0.00	   58.9	   -0.0	    0.0	   58.9	 29.414C	 29.411C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:21:58	C0	 1.00	 0.00	 0.00	   57.4	   -0.0	    0.0	   57.4	 29.422C	 29.425C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:22:29	C0	 1.00	 0.00	 0.00	   56.2	    0.0	    0.0	   56.2	 29.438C	 29.436C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:23:00	C0	 1.00	 0.00	 0.00	   54.9	    0.0	    0.0	   54.9	 29.453C	 29.451C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:23:31	C0	 1.00	 0.00	 0.00	   53.0	   -0.0	    0.0	   53.0	 29.477C	 29.472C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:24:02	C0	 1.00	 0.00	 0.00	   50.9	   -0.0	    0.0	   50.9	 29.492C	 29.488C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:24:33	C0	 1.00	 0.00	 0.00	   51.0	   -0.0	    0.0	   51.0	 29.484C	 29.490C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:25:04	C0	 1.00	 0.00	 0.00	   49.3	    0.0	    0.0	   49.3	 29.508C	 29.507C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:25:35	C0	 1.00	 0.00	 0.00	   48.9	   -0.0	    0.0	   48.9	 29.508C	 29.512C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:26:06	C0	 1.00	 0.00	 0.00	   47.6	   -0.0	    0.0	   47.6	 29.531C	 29.524C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:26:37	C0	 1.00	 0.00	 0.00	   47.2	    0.0	    0.0	   47.2	 29.523C	 29.526C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:27:08	C0	 1.00	 0.00	 0.00	   46.6	    0.0	    0.0	   46.6	 29.531C	 29.533C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:27:39	C0	 1.00	 0.00	 0.00	   46.8	   -0.0	    0.0	   46.8	 29.531C	 29.532C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:28:10	C0	 1.00	 0.00	 0.00	   46.6	   -0.0	    0.0	   46.6	 29.539C	 29.536C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:28:41	C0	 1.00	 0.00	 0.00	   46.3	   -0.0	    0.0	   46.3	 29.539C	 29.537C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:29:12	C0	 1.00	 0.00	 0.00	   46.0	   -0.0	    0.0	   46.0	 29.539C	 29.540C	 30.000C	00	016	0200	ENABLED 	OK
01/05/2023	13:29:43	C0	 1.00	 0.00	 0.00	   45.9	   -0.0	    0.0	   45.9	 29.539C	 29.542C	 30.000C	00	016	0200	ENABLED 	OK
